陽光丸準備品リスト,2016/6/13更新,,,,,,,,,,,,,
コンテナ名,物,数,単位,備考,荷姿,荷物No.,チェック,,,,,,,
ニューストンコッドエンド,コッドエンド,4,個,,青コンテナ,,,,,,,,,
,ブライドル,1,個,,,,,,,,,,,
,コッドエンド用ホース,1,本,,,,,,,,,,,
,シャックル,4,個,,,,,,,,,,,
ニューストンコッド予備網,ニューストンネット予備網,2,枚,,青コンテナ,,,,,,,,,
ニューストンネット本網,ニューストンネット網,2,枚,,青コンテナ,,,,,,,,,
海洋観測,採水バケツ（白）,1,個,,透明コンテナ,,,,,,,,,
,採水バケツ（黒）,1,個,,,,,,,,,,,
,デジタル水温計,2,個,,,,,,,,,,,
,棒状水温計（水銀）,1,本,,,,,,,,,,,
,ばねばかり,2,個,"5kg*1, 1kg*1",,,,,,,,,,
,デジタルノギス,3,個,新品大1小1,,,,,,,,,,
,ノギス,1,個,,,,,,,,,,,
,ノギス用ボタン電池（SR44）,3,個,,,,,,,,,,,
,野帳ノート,6,冊,茶5、青1,,,,,,,,,,
,耐水紙,2,冊,,,,,,,,,,,
,文具ケース,1,ケース,,,,,,,,,,,
,スポイト,3,本,,,,,,,,,,,
,傾角度盤,2,個,新1　旧1,,,,,,,,,,
,ラッシングベルト,1,本,,,,,,,,,,,
,はさみ,1,本,,,,,,,,,,,
,単三電池,5,本,,,,,,,,,,,
,テスター,1,個,,,,,,,,,,,
ゴム手袋・軍手・雑巾,ゴム手袋,必要量,,"M, L",透明コンテナ,,,,,,,,,
,軍手,必要量,,,,,,,,,,,,
,ウェス,必要量,,,,,,,,,,,,
,ぞうきん,必要量,,,,,,,,,,,,
,タオル,必要量,,,,,,,,,,,,
すべり止めマット・手鉤・まきり,すべり止めマット,必要量,,,透明コンテナ,,,,,,,,,
,まきり,1,本,,,,,,,,,,,
,手鉤,2,本,,,,,,,,,,,
,ラッシングベルト,4,本,,,,,,,,,,,
